"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Prevotella.Otu1994",1,0.125,0.323001783721301,0.40625,-0.1875,0.686079564570255,-2.44696562905229,0.0263330503722955,0.00482937708616933,0,0,0
"Prevotella.Otu1319",3,0.15625,0.366586538461538,0.375,-0.25,0.578813257811534,-2.71900311501443,0.00516568491921053,0.000784560460032631,0,0,0
"Alistipes.Otu0529",24,0.76953125,0.948311237373737,0.4375,-0.125,0.0926509713383716,-0.247613423133227,0.00254193521208506,0.00214104309820022,0,0.000387681920216293,0
"Bacteroides.Otu2534",15,0.0625,0.23828125,0.65625,0.3125,0.833039015881987,10.2564675134621,3.83036097018344e-06,0.00468537196482134,0,0,0
"Bacteroides.Otu0480",13,0.546875,0.833984375,0.375,-0.25,0.212998046827346,0.488824532873791,0.00919976965260493,0.0129100463195195,0,0,0
"Bifidobacterium.Otu1244",13,0.546875,0.833984375,0.375,-0.25,0.212998046827346,-4.24858587355072,0.0102791092911478,0.000540758925678917,0,0,0
"Bacteroides.Otu0786",30,0.845703125,0.982626488095238,0.5,0,0.0615391261303583,1.26053480837442,0.00125330863619218,0.00300273371416064,0,0,0.000653665790487469
"Bacteroides.Otu1624",20,0.8203125,0.981158088235294,0.46875,-0.0625,0.0757143541675717,-0.769571023191096,0.00279948562350277,0.00164215550216448,0,0,0
"Prevotella.Otu1633",17,0.9453125,1,0.5,0,0.0242517722676958,0.413563770896886,0.00493209642735707,0.0065694144141642,0,0,0
"Akkermansia.Otu1935",20,0.84375,0.982626488095238,0.5,0,0.0696850495350836,2.11141270960423,0.00300159309042055,0.012970310585855,0,0,0
"Bacteroides.Otu2065",13,0.9375,1,0.40625,-0.1875,0.0296371062560528,2.04007632244501,0.00721560217878511,0.0296754113381245,0,0,0
"Prevotella.Otu0773",4,0.21875,0.485227272727273,0.375,-0.25,0.50208773596218,-2.91524008275837,0.00334863984867825,0.000443908776519519,0,0,0
"Ruminococcus.Otu0422",0,0.125,0.323001783721301,0.375,-0.25,0.767060272176273,-52,0.00719382451986963,0,0,0,0
"Sutterella.Otu0171",13,0.9375,1,0.46875,-0.0625,0.0296371062560528,-1.77654347358292,0.00703907419527769,0.00205457816693677,0,0,0
"Prevotella.Otu2327",4,0.21875,0.485227272727273,0.4375,-0.125,0.50208773596218,-3.41948261544991,0.00206701115837374,0.000193186148512214,0,0,0
"Megamonas.Otu2657",1,0.25,0.516949152542373,0.4375,-0.125,0.575174690188004,-2.78806283769665,0.00899502012800152,0.00130230166424003,0,0,0
